,country_code,country_name,area,population,prefecture,year
0,JP,Japan,Tokyo,8336599,Tokyo,2020
1,JP,Japan,Gifu-shi,397714,Gifu,2020
2,JP,Japan,Fujisawa,394624,Kanagawa,2020
3,JP,Japan,Toyonaka,384459,Osaka,2020
4,JP,Japan,Fukuyama,383298,Hiroshima,2020
5,JP,Japan,Toyohashi,378374,Aichi,2020
6,JP,Japan,Minato,375339,Tokyo,2020
7,JP,Japan,Nara-shi,367353,Nara,2020
8,JP,Japan,Toyota,362383,Aichi,2020
9,JP,Japan,Nagano,360176,Nagano,2020
10,JP,Japan,Iwaki,357309,Fukushima,2020
11,JP,Japan,Asahikawa,356612,Hokkaido,2020
12,JP,Japan,Takatsuki,354468,Osaka,2020
13,JP,Japan,Okazaki,352361,Aichi,2020
14,JP,Japan,Suita,351630,Osaka,2020
15,JP,Japan,Wakayama,351000,Wakayama,2020
16,JP,Japan,Koriyama,340560,Fukushima,2020
17,JP,Japan,Kashiwa,340221,Chiba,2020
18,JP,Japan,Yokkaichi,295841,Mie,2020
19,JP,Japan,Akashi,297279,Hyogo,2020
20,JP,Japan,Otsu,298164,Shiga,2020
21,JP,Japan,Aomori,298394,Aomori,2020
22,JP,Japan,Kasugai,298589,Aichi,2020
23,JP,Japan,Naha,300795,Okinawa,2020
24,JP,Japan,Machida,399969,Tokyo,2020
25,JP,Japan,Miyazaki,311203,Miyazaki,2020
26,JP,Japan,Akita,320069,Akita,2020
27,JP,Japan,Toyama,325532,Toyama,2020
28,JP,Japan,Takamatsu,334223,Kagawa,2020
29,JP,Japan,Kochi,335570,Kochi,2020
30,JP,Japan,Kawagoe,337931,Saitama,2020
31,JP,Japan,Tokorozawa,339435,Saitama,2020
32,JP,Japan,Koshigaya,317437,Saitama,2020
33,JP,Japan,Hirakata,406331,Osaka,2020
34,JP,Japan,Morioka,295172,Iwate,2020
35,JP,Japan,Yokosuka,428992,Kanagawa,2020
36,JP,Japan,Chiba,919729,Chiba,2020
37,JP,Japan,Kitakyushu,997536,Fukuoka,2020
38,JP,Japan,Sendai,1063103,Miyagi,2020
39,JP,Japan,Yono,1077730,Saitama,2020
40,JP,Japan,Hiroshima,1143841,Hiroshima,2020
41,JP,Japan,Kawasaki,1306785,Kanagawa,2020
42,JP,Japan,Sakai,782339,Fukui,2020
43,JP,Japan,Sakai,782339,Osaka,2020
44,JP,Japan,Fukuoka,1392289,Fukuoka,2020
45,JP,Japan,Kobe,1528478,Hyogo,2020
46,JP,Japan,Sapporo,1883027,Hokkaido,2020
47,JP,Japan,Nagoya,2191279,Aichi,2020
48,JP,Japan,Osaka,2592413,Osaka,2020
49,JP,Japan,Yokohama,3574443,Kanagawa,2020
50,JP,Japan,Nagasaki,410204,Nagasaki,2020
51,JP,Japan,Kyoto,1459640,Kyoto,2020
52,JP,Japan,Shizuoka,701561,Shizuoka,2020
53,JP,Japan,Saitama,1193350,Saitama,2020
54,JP,Japan,Okayama,639652,Okayama,2020
55,JP,Japan,Kumamoto,680423,Kumamoto,2020
56,JP,Japan,Amagasaki,442173,Hyogo,2020
57,JP,Japan,Matsuyama,443322,Ehime,2020
58,JP,Japan,Oita,448907,oita,2020
59,JP,Japan,Utsunomiya,449865,Tochigi,2020
60,JP,Japan,Kawaguchi,468565,Saitama,2020
61,JP,Japan,Nishinomiya-hama,468925,Hyogo,2020
62,JP,Japan,Kanazawa,458937,Ishikawa,2020
63,JP,Japan,Kurashiki,437581,Okayama,2020
64,JP,Japan,Himeji,481493,Hyogo,2020
65,JP,Japan,Niigata,505272,Niigata,2020
66,JP,Japan,Kagoshima,555352,Kagoshima,2020
67,JP,Japan,Hachioji,579399,Tokyo,2020
68,JP,Japan,Hamamatsu,605098,Shizuoka,2020
69,JP,Japan,Matsudo,470277,Chiba,2020
