,country_code,country_name,area,population,prefecture,year
0,MY,Malaysia,Donggongon,71585,Pahang,2020
1,MY,Malaysia,Kangar,63869,Pahang,2020
2,MY,Malaysia,Perai,65301,Pahang,2020
3,MY,Malaysia,Kampong Baharu Balakong,69302,Pahang,2020
4,MY,Malaysia,Segamat,69816,Pahang,2020
5,MY,Malaysia,Taman Senai,73176,Pahang,2020
6,MY,Malaysia,Semenyih,92491,Pahang,2020
7,MY,Malaysia,Ulu Tiram,75350,Perak,2020
8,MY,Malaysia,Keningau,77650,Perak,2020
9,MY,Malaysia,Putatan,78340,Perak,2020
10,MY,Malaysia,Cukai,82425,Perak,2020
11,MY,Malaysia,Port Dickson,89198,Perak,2020
12,MY,Malaysia,Kulai,63762,Perak,2020
13,MY,Malaysia,Victoria,73653,Perak,2020
14,MY,Malaysia,Jitra,63489,Perak,2020
15,MY,Malaysia,Batu Gajah,46183,Perak,2020
16,MY,Malaysia,Semporna,62641,Perak,2020
17,MY,Malaysia,Lahad Datu,105622,Perak,2020
18,MY,Malaysia,Bedong,47585,Perak,2020
19,MY,Malaysia,Banting,48240,Perak,2020
20,MY,Malaysia,Bentong Town,49213,Perak,2020
21,MY,Malaysia,Putrajaya,50000,Perak,2020
22,MY,Malaysia,Pontian Kechil,50836,Perak,2020
23,MY,Malaysia,Teluk Intan,63353,Perak,2020
24,MY,Malaysia,Kota Tinggi,52743,Perak,2020
25,MY,Malaysia,Kampung Bukit Baharu,55656,Perak,2020
26,MY,Malaysia,Kuala Selangor,55887,Perlis,2020
27,MY,Malaysia,Simpang Empat,58004,Perlis,2020
28,MY,Malaysia,Kampong Dungun,58674,Pulau Pinang,2020
29,MY,Malaysia,Temerluh,59916,Pulau Pinang,2020
30,MY,Malaysia,Putra Heights,60000,Pulau Pinang,2020
31,MY,Malaysia,Bandar Labuan,54752,Pulau Pinang,2020
32,MY,Malaysia,Butterworth,107591,Pulau Pinang,2020
33,MY,Malaysia,Sungai Petani,228843,Pulau Pinang,2020
34,MY,Malaysia,Muar,127897,Pulau Pinang,2020
35,MY,Malaysia,Seremban,372917,Pulau Pinang,2020
36,MY,Malaysia,Sandakan,392288,Pulau Pinang,2020
37,MY,Malaysia,Kota Kinabalu,457326,Pulau Pinang,2020
38,MY,Malaysia,Shah Alam,481654,Pulau Pinang,2020
39,MY,Malaysia,Petaling Jaya,520698,Pulau Pinang,2020
40,MY,Malaysia,Kuching,570407,Pulau Pinang,2020
41,MY,Malaysia,Kuantan,366229,Sabah,2020
42,MY,Malaysia,Ipoh,673318,Sabah,2020
43,MY,Malaysia,Johor Bahru,802489,Sabah,2020
44,MY,Malaysia,Kampung Baru Subang,833571,Sabah,2020
45,MY,Malaysia,Klang,879867,Sabah,2020
46,MY,Malaysia,Kuala Lumpur,1453975,Sabah,2020
47,MY,Malaysia,Kota Bharu,1459994,Sabah,2020
48,MY,Malaysia,Mentekab,42171,Sabah,2020
49,MY,Malaysia,Subang Jaya,708296,Sabah,2020
50,MY,Malaysia,Rawang,120447,Sabah,2020
51,MY,Malaysia,Tawau,306462,Sabah,2020
52,MY,Malaysia,Kuala Terengganu,285065,Sabah,2020
53,MY,Malaysia,Tasek Glugor,135786,Sabah,2020
54,MY,Malaysia,Kampung Sungai Ara,140849,Sabah,2020
55,MY,Malaysia,Kampung Pasir Gudang Baru,145639,Sabah,2020
56,MY,Malaysia,Bintulu,151617,Sarawak,2020
57,MY,Malaysia,Batu Pahat,156236,Sarawak,2020
58,MY,Malaysia,Skudai,159733,Sarawak,2020
59,MY,Malaysia,George Town,300000,Sarawak,2020
60,MY,Malaysia,Kluang,169828,Sarawak,2020
61,MY,Malaysia,Malacca,180671,Sarawak,2020
62,MY,Malaysia,Sibu,198239,Sarawak,2020
63,MY,Malaysia,Sepang,212050,Sarawak,2020
64,MY,Malaysia,Alor Setar,217368,Sarawak,2020
65,MY,Malaysia,Taiping,217647,Sarawak,2020
66,MY,Malaysia,Miri,228212,Selangor,2020
67,MY,Malaysia,Kulim,170889,Selangor,2020
68,MY,Malaysia,Nibong Tebal,40072,Selangor,2020
