,country_code,country_name,population,prefecture/state,year
0,MY,Malaysia,5411324,Selangor,2010
1,MY,Malaysia,3348283,Johor,2010
2,MY,Malaysia,3117405,Sabah,2010
3,MY,Malaysia,2420009,Sarawak,2010
4,MY,Malaysia,2258428,Perak,2010
5,MY,Malaysia,1890098,Kedah,2010
6,MY,Malaysia,1627172,Kuala Lumpur,2010
7,MY,Malaysia,1520143,Penang,2010
8,MY,Malaysia,1459994,Kelantan,2010
9,MY,Malaysia,1443365,Pahang,2010
10,MY,Malaysia,1015776,Terengganu,2010
11,MY,Malaysia,997071,Negeri Sembilan,2010
12,MY,Malaysia,788706,Malacca,2010
13,MY,Malaysia,227025,Perlis,2010
14,MY,Malaysia,86908,Labuan,2010
15,MY,Malaysia,67964,Putrajaya,2010
